year,rain,wind_speed,colour_prevSummer,TP_prevSummer,chla_prevSummer
1981,509.27209179453934,2.4801330952935343,26.66666666666667,43.57301587333334,16.080129870272728
1982,557.4527044053054,2.684404057916951,26.66666666666667,28.833333335,8.33125
1983,466.4650264776756,2.728689937096461,26.66666666666667,26.988095237142854,5.974999999999999
1984,594.0057482319193,2.4032123535777483,17.625,29.781250000000004,6.05
1985,533.8978724539652,2.3989868985584906,26.014880952142857,27.15833333333333,11.611111111111109
1986,451.91925621821116,2.739544119075839,34.404761904285714,30.95714285857143,11.895238094714287
1987,653.416719693524,2.612712232359058,27.47222222333333,33.78888889,12.677777776666666
1988,646.0817190200033,2.4114016540772556,29.02777777833333,23.43333333333333,8.511111111166668
1989,383.7405121623809,2.637208463575921,32.27777777666667,29.53333333333333,14.055555556666668
1990,413.79637307108453,2.632175642527066,23.857142857142854,27.057142857142853,14.271428571428574
1991,380.6346164758991,2.493080865682042,19.857142857142858,28.90000000000001,12.242857142857142
1992,359.62905691701667,2.49913786057252,20.625,27.225,9.425
1993,411.8541626688414,2.3447151647854034,21.285714285714285,31.342857142857145,16.757142857142856
1994,399.3395469978953,2.459225481070636,24.42857142857143,27.3,12.614285714285714
1995,471.46676237482285,2.73771369015589,27.714285714285715,30.442857142857147,18.257142857142856
1996,459.88040242121775,2.698542903857038,25.83333333333333,29.45,21.883333333333336
1997,434.06466311806616,2.2375139858768014,17.666666666666668,31.28333333333333,21.3
1998,531.4233936926786,2.3911031713535182,19.0,29.41666666666667,23.066666666666666
1999,532.7890649178661,2.47731638794926,34.71153846153847,32.36666666666667,21.1
2000,610.7659853117252,2.5012831755852694,50.42307692307693,32.516666666666666,21.633333333333336
2001,470.4265239775213,2.413622912690887,42.56,32.666666666666664,22.16666666666667
2002,509.9027319263,2.249685296030855,68.70370370370371,38.333333333333336,21.033333333333328
2003,481.3910277851805,2.367785841533089,54.57692307692307,36.66666666666666,25.5
2004,529.1307245373021,2.4734265383670686,42.875,33.57142857142857,16.821428571428573
2005,456.1052773493404,2.5356968661200603,38.66666666666666,36.833333333333336,25.6
2006,558.2892704394657,2.339323611709479,46.5,32.01086956521739,20.2
2007,586.6460768859316,2.5909774205798928,48.33333333333334,34.5,29.15416666666667
2008,437.44737511858136,2.342745719543797,65.71428571428571,32.16,17.944000000000006
2009,510.4845312851325,2.590992991268915,69.0,32.75,15.887500000000005
2010,571.5281016948574,2.5259231369864006,58.28571428571429,28.956521739130434,16.343478260869567
2011,722.8304752045906,2.612070036831458,61.714285714285715,26.347826086956523,11.69565217391304
2012,628.2122391193772,2.4645397800428617,72.23076923076924,26.56,12.188000000000002
2013,514.0362266206557,2.4712782550263035,64.0,26.04166666666667,13.52083333333333
2014,587.1069061141898,2.443801382116134,60.223076923076924,22.99230769230769,14.13846153846154
2015,637.2366718591518,2.6667646889299363,41.86363636363637,20.3,12.6
2016,425.7032482829829,2.6897952442195154,52.83333333333334,24.25,14.924999999999995
2017,563.5581294265962,2.5690653683235114,52.0,18.75,9.590909090909092
2018,336.6991495192346,2.66806077738645,42.0,19.666666666666668,12.866666666666665
2019,692.5498762302742,2.500275889606649,36.333333333333336,18.666666666666668,10.741666666666667
