year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,cyano_prevSummer,rain,rain_lag1,rainy_days_winter,temp,TP,TP_prevSummer,windDays_under_Q0.4,windDays_over_Q0.6
1980,12.169126984126985,,,,,,242.199218085,80.99274116000002,,14.449402909543474,36.084126984126975,,43.0,27.0
1981,7.075,16.471230158730158,,,,,282.257779432,105.45732291500002,102.0,13.2132639798913,23.583333333333336,43.57301587301588,28.0,43.0
1982,5.466666666666666,8.33125,,,,,151.00623331399999,175.8109383990001,105.0,13.452291391815214,37.77777777777778,28.83333333333333,25.0,41.0
1983,5.98,5.8479166666666655,19.4,26.66666666666667,,,182.72881749700005,122.88200663299999,121.0,13.517997996869571,31.96,28.336805555555557,23.0,51.0
1984,10.23,6.073333333333334,,17.03333333333333,,,255.82062942299987,74.09328523699999,121.0,13.845605221239135,27.360000000000007,29.055,17.0,51.0
1985,9.97777777777778,11.09,34.111111111111114,,,,236.49391209300012,175.57119917400001,138.0,13.03916138994565,36.6,26.527500000000003,33.0,38.0
1986,10.911111111111113,11.655555555555555,31.44444444444445,34.36805555555556,,,163.43724397199998,124.009840039,123.0,13.49947344940217,33.333333333333336,31.6625,11.0,66.0
1987,6.2666666666666675,12.677777777777774,27.88888888888889,27.472222222222218,,,251.69644928500009,159.49626074000003,114.0,11.593673148445651,24.46666666666667,33.78888888888889,33.0,35.0
1988,12.855555555555556,8.511111111111111,27.777777777777768,29.027777777777782,,,300.12176570600013,256.721224656,150.0,14.33465383294565,31.2,23.43333333333333,30.0,37.0
1989,9.05,14.055555555555555,24.75,32.27777777777778,,,184.13527493900003,256.249386817,134.0,13.236733817184785,27.6,29.53333333333333,15.0,52.0
1990,9.65,15.141666666666667,21.75,23.708333333333336,,,170.0517146360001,224.2205071850001,129.0,13.590783457793474,28.9,26.966666666666665,18.0,45.0
1991,8.575,12.675,21.75,19.541666666666664,,,182.15018411200003,112.58863632500002,137.0,12.638071926673918,25.975,28.9,28.0,44.0
1992,13.7,9.425,25.25,20.625,,,132.57916957199998,175.64005505900002,141.0,14.998212287923913,32.45,27.225,18.0,53.0
1993,9.35,17.266666666666666,23.0,20.625,,,217.24269529100002,78.836008859,119.0,12.962599144793485,25.075,31.15833333333334,24.0,45.0
1994,11.65,13.158333333333333,31.25,24.666666666666664,,,61.717935272000005,166.320291902,143.0,14.039486755521741,28.675,27.67083333333333,17.0,53.0
1995,20.566666666666666,19.358333333333334,28.33333333333333,27.125,,,210.534631109,211.71560748299999,165.0,13.037037544152176,26.1,30.737500000000004,27.0,42.0
1996,23.93333333333333,21.88333333333333,20.33333333333333,25.83333333333333,2.123333333333333,,172.1298755860001,55.62630938800003,148.0,11.995010161152177,30.8,29.450000000000006,26.0,47.0
1997,21.033333333333328,21.3,20.666666666666668,17.666666666666664,1.3166666666666669,3.1783333333333337,180.95761478200004,123.03158462099998,159.0,14.016933814978266,29.6,31.28333333333333,35.0,32.0
1998,18.766666666666666,23.066666666666666,,19.0,0.8933333333333332,1.7016666666666669,210.34744419000003,186.08428352599998,147.0,12.610114130119564,26.7,29.416666666666664,26.0,39.0
1999,,21.1,51.69230769230769,,0.77,1.2866666666666666,291.151700398,262.906047184,158.0,12.743668900402177,,32.36666666666667,19.0,48.0
2000,17.099999999999998,,49.153846153846146,50.42307692307693,0.19666666666666666,2.0766666666666667,248.36199442299994,189.06036162599997,144.0,13.13161708809783,34.666666666666664,,25.0,42.0
2001,21.566666666666666,22.166666666666664,73.30769230769229,42.2852564102564,0.2983333333333333,0.9877083333333332,185.76768162199997,198.3270272940001,147.0,13.781627430967395,45.0,32.666666666666664,16.0,51.0
2002,23.0,21.033333333333328,59.69230769230769,68.42307692307692,0.5720000000000001,0.3965,320.827473462,158.56789200800006,159.0,14.581400571119564,42.0,38.333333333333336,27.0,45.0
2003,19.08333333333333,25.5,48.0,54.57692307692307,0.648,0.5623333333333334,272.532858832,158.59090877299997,124.0,14.12535460952174,31.33333333333333,36.66666666666666,25.0,39.0
2004,36.333333333333336,17.104166666666664,38.66666666666666,42.875,2.5046666666666666,0.77,191.0656472809999,149.23313424,150.0,13.315869566652177,40.333333333333336,33.291666666666664,20.0,40.0
2005,18.16923076923077,25.6,53.33333333333334,38.66666666666666,1.117294893333333,1.4663333333333333,234.121203886,75.962384985,145.0,13.449493758554352,29.615384615384613,36.833333333333336,30.0,32.0
2006,22.264285714285712,20.384615384615387,55.75,46.5,0.9441994285714286,1.3695121533333334,196.16808407099998,200.825352132,164.0,14.994149163369565,30.642857142857146,32.37019230769231,37.0,34.0
2007,17.73846153846154,30.532142857142855,70.33333333333333,44.625,1.6125406624999998,2.1717405462857142,357.39982618700003,131.12002013900005,157.0,13.870642510967391,32.69230769230769,35.27142857142857,43.0,27.0
2008,16.446153846153848,17.952564102564107,58.33333333333334,64.66666666666666,0.19648414714285714,1.39858868125,223.246592925,224.3804002740001,164.0,14.625843514717387,35.46153846153846,32.13782051282051,46.0,23.0
2009,16.436363636363634,15.836713286713287,63.66666666666666,71.66666666666667,0.4929486618333334,0.23035223190476195,236.727380031,148.883988965,137.0,14.247826349760878,29.272727272727273,32.503496503496514,34.0,31.0
2010,13.7,16.347348484848485,63.5,58.95833333333333,0.06991657142857143,0.49938581935,243.78339129200003,138.126200654,159.0,13.676593360239133,28.461538461538463,28.96969696969697,32.0,30.0
2011,15.246153846153845,11.395,68.84615384615384,61.41666666666667,0.032806071428571434,0.07846158571428571,308.51362378399995,120.563312331,135.0,14.175819390554356,26.69230769230769,26.03076923076923,39.0,29.0
2012,15.623076923076924,12.060576923076924,62.92307692307693,72.74450549450547,0.015106,0.029480952380952382,290.1019707169999,116.65501219,142.0,13.182981759141295,27.76923076923077,26.554487179487186,24.0,37.0
2013,15.1,13.52653846153846,70.5,64.15384615384616,0.13924837271428572,0.06932219999999999,271.04800603000007,86.28312931200001,132.0,14.51148089697826,22.985714285714288,26.184615384615388,16.0,50.0
2014,13.433333333333332,14.058333333333335,47.73333333333334,59.36666666666666,0.1156565815,0.2191101143571429,159.853964134,271.35633923000006,145.0,15.321389833891304,21.73333333333333,22.992857142857147,34.0,29.0
2015,14.6,12.599999999999998,48.33333333333334,41.27666666666667,0.05883450783333333,0.11163818141666668,313.3035336100001,154.565633974,146.0,12.378023353804341,22.16666666666667,20.3,17.0,56.0
2016,8.233333333333333,14.925,52.5,52.83333333333334,0.031230039166666668,0.08764442241666666,180.7352356919999,242.94158207700002,158.0,14.518242564130436,20.916666666666668,24.25,20.0,44.0
2017,13.385714285714286,9.726666666666668,,51.25,0.08411289200000001,0.08536658194999999,195.8545983860001,149.00081377700002,134.0,13.653999853326088,,18.75,24.0,39.0
2018,,12.762857142857143,,,0.045305710000000006,0.124312898,65.78225232800001,105.962053055,151.0,15.823635620866668,,,15.0,23.0
